Identifier,Repeat no,Display Name,Device identifier,Instance,Submission Date,Submitter,Duration,Form version,4.1 What is the level of E. coli in the water? - Health Risk Category (Based on MPN and Confidence Interval),MPN(MPN/100ml),Upper 95% Confidence Interval,4.1 What is the level of E. coli in the water? --Image
haq1-4mc5-ymke,1,Nyahururu Water &Sanitation Co- Rumuruti Scheme,WB RM 5,126210011,28-09-2018 04:46:39 UTC,Mary Nyambura,00:00:05,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/821d0300-ee50-4456-9c70-217fedffd7e8.jpg
54ts-7ghc-s6bq,1,G.G. Boys Sec school,WB RM 15,131980023,29-09-2018 13:08:15 UTC,M. Ngotho Muiruri,00:00:08,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/7ba5ac19-e5e4-4b61-a219-2d18c4758934.jpg
exkh-7g32-skwp,1,calvert spring,WB RM 15,117930027,29-09-2018 13:08:48 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/225e02b9-332f-477d-888b-42fe77713b08.jpg
s9b8-6b9w-08ew,1,uwaso nyiro stream,WB RM 15,134030029,29-09-2018 13:09:22 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/8145f243-ad92-4fbf-b588-d9644922557c.jpg
dkrt-fcxq-e8me,1,sironi dam,WB RM 15,130290028,29-09-2018 13:10:05 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/d5fa8fdc-693e-42ec-b6c2-b7474def7c76.jpg
f3r6-w5ha-16kw,1,Gatirima Kanini Dam,WB RM 5,128230072,29-09-2018 13:10:37 UTC,Mary Nyambura,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/b8049ed1-aec2-4d11-b1e5-3b02c0b357d2.jpg
eqmg-yy40-d0fm,1,hamuthioma dam,WB RM 15,136080023,29-09-2018 13:11:02 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/4d436c24-cd35-4aae-a045-c777d149c2c6.jpg
duqj-9ap1-fue5,1,G.G Boys Sec School,WB RM 5,136090089,29-09-2018 13:11:22 UTC,Mary Nyambura,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/931d2b86-debd-4b6c-8321-7f895f2c0442.jpg
rkx2-vkwf-1x4s,1,Gatirima dam,WB RM 15,136070030,29-09-2018 13:12:36 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a7c6a94a-d3c7-4357-a69b-704767f9617d.jpg
2k1e-6rax-xb4t,1,mutamaiyu dam,WB RM 15,143620028,29-09-2018 13:14:26 UTC,M. Ngotho Muiruri,00:00:02,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/0a8b78fd-1978-440c-a038-5fcf1cb78dbb.jpg
7hyw-qtxd-src7,1,karaba dam,WB RM 15,130290031,30-09-2018 08:12:28 UTC,M. Ngotho Muiruri,00:00:04,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/b528df8c-ee70-4fe9-bb95-65cf0b27f0cf.jpg
